No.,problem,answer
1, 神久保（八千代市）,いものくぼ
2, 桑納（八千代市）,かんのう
3, 飯山満（船橋市）,はさま
4, 実籾（習志野市）,みもみ
5, 生谷（佐倉市）,おぶかい
6, 神門（佐倉市）,ごうど
7, 中尾余町（佐倉市）,なかびょうまち
8, 先崎（佐倉市）,まっさき
9, 五十土町（千葉市若葉区）,いかづちちょう
10, 小食土町（千葉市緑区）,やさしどちょう
11, 生実町（千葉市中央区）,おゆみちょう
12, 登戸（千葉市中央区）,のぶと
13, 亥鼻（千葉市中央区）,いのはな
14, 作草部（千葉市稲毛区）,さくさべ
15, 園生町（千葉市稲毛区）,そんのうちょう
16, 大谷流（八街市）,おおやる
17, 四木（八街市）,しもく
18, 文違（八街市）,ひじかい
19, 用草（八街市）,もちくさ
20, 鹿放ケ丘（四街道市）,ろっぽうがおか
21, 南波佐間（四街道市）,なばさま
22, 廿五里（市原市）,ついへいじ
23, 海士有木（市原市）,あまありき
24, 新生（市原市）,あらおい
25, 分目（市原市）,わんめ
26, 飯給（市原市）,いたぶ
27, 不入斗（市原市）,いりやまず
28, 新妻（成田市）,にっつま
29, 馬乗里（成田市）,まじょうり
30, 取香（成田市）,とっこう
31, 冬父（成田市）,とぶ
32, 酒々井（印旛郡）,しすい
33, 四箇（印旛郡）,しか
34, 稲荷木（市川市）,とうかぎ
35, 国府台（市川市）,こうのだい
36, 北方町（市川市）,ぼっけまち
37, 猫実（浦安市）,ねこざね
38, 木下（印西市）,きおろし
39, 発作（印西市）,ほっさく
40, 草深（印西市）,そうふけ
41, 将監（印西市）,しょうげん
42, 安食卜杭（印西市）,あじきぼっくい
43, 神々廻（白井市）,ししば
44, 都部（我孫子市）,いちぶ
45, 日秀（我孫子市）,ひびり
46, 逆井（柏市）,さかさい
47, 十余二（柏市）,とよふた
48, 三ヶ月（松戸市）,みこぜ
49, 五香（松戸市）,ごこう
50, 名都借（流山市）,なづかり
51, 安布里（館山市）,あぶり
52, 出野尾（館山市）,いでのお
53, 神余（館山市）,かなまり
54, 上真倉（館山市）,かみさなぐら
55, 見物（館山市）,けんぶつ
56, 香（館山市）,こうやつ
57, 坂足（館山市）,さかだる
58, 布良（館山市）,めら
59, 山荻（館山市）,やもおぎ
60, 丹生（南房総市）,にゅう
61, 久枝（南房総市）,くし
62, 検儀谷（南房総市）,けぎや
63, 平久里下（南房総市）,へぐりしも
64, 御子神（南房総市）,みこがみ
65, 磑森（南房総市）,するすもり
66, 仁我浦（南房総市）,にがうら
67, 真浦（南房総市）,もうら
68, 白渚（南房総市）,しらすか
69, 海発（南房総市）,かいほつ
70, 安馬谷（南房総市）,あんばや
71, 平舘（南房総市）,へだて
72, 忽戸（南房総市）,こっと
73, 千代（南房総市）,せんだい
74, 本織（南房総市）,もとおり
75, 大帷子（安房郡鋸南町）,おおかたびら
76, 大崩（安房郡鋸南町）,おくずれ
77, 宇藤原（富津市）,うとうばら
78, 売津（富津市）,うるづ
79, 海良（富津市）,かいら
80, 小志駒（富津市）,こじこま
81, 桜井総稱鬼泪山（富津市）,さくらいそうしょうきなだやま
82, 望井（富津市）,もちい
83, 豊英（君津市）,とよふさ
84, 平田（君津市）,ひらった
85, 釜生（君津市）,かもう
86, 怒田（君津市）,ぬだ
87, 芋窪（君津市）,いもくぼ
88, 久留里（君津市）,くるり
89, 尾車（君津市）,びしゃ
90, 草牛（君津市）,そうぎゅう
91, 六手（君津市）,むて
92, 三直（君津市）,みのう
93, 杢師（君津市）,もくし
94, 常代（君津市）,とこしろ
95, 皿引（君津市）,さらひき
96, 畔戸（木更津市）,くろと
97, 下内橋（木更津市）,げないばし
98, 請西（木更津市）,じょうざい
99, 菅生（木更津市）,すごう
100, 真里谷（木更津市）,まりやつ
101, 天面（鴨川市）,あまつら
102, 打墨（鴨川市）,うつつみ
103, 貝渚（鴨川市）,かいすか
104, 金束（鴨川市）,こづか
105, 主基西（鴨川市）,すきにし
106, 北風原（鴨川市）,ならいはら
107, 滑谷（鴨川市）,ぬかりや
108, 横渚（鴨川市）,よこすか
109, 四方木（鴨川市）,よもぎ
110, 来秀（鴨川市）,らいしゅう
111, 出水（勝浦市）,いでみず
112, 鵜原（勝浦市）,うばら 
113, 興津（勝浦市）,おきつ
114, 墨名（勝浦市）,とな
115, 部原（勝浦市）,へばら
116, 法花（勝浦市）,ほうげ
117, 実谷（夷隅郡御宿町）,じっこく
118, 行川（いすみ市）,なめがわ
119, 日在（いすみ市）,ひあり
120, 弥正（いすみ市）,やまさ
121, 宇筒原（夷隅郡大多喜町）,うとうばら
122, 小土呂（夷隅郡大多喜町）,おどろ
123, 面白（夷隅郡大多喜町）,おもじろ
124, 新丁（夷隅郡大多喜町）,しんまち
125, 部田（夷隅郡大多喜町）,へた
126, 百鉾（夷隅郡大多喜町）,もふく
127, 市野々（長生郡長南町）,いちのの
128, 小生田（長生郡長南町）,おぶた
129, 給田（長生郡長南町）,きゅうでん
130, 地引（長生郡長南町）,じひき
131, 米満（長生郡長南町）,よねみち
132, 刑部（長生郡長柄町）,おさかべ
133, 国府里（長生郡長柄町）,こうり
134, 鴇谷（長生郡長柄町）,とうや
135, 味庄（長生郡長柄町）,みしょう
136, 山根（長生郡長柄町）,やまんね
137, 力丸（長生郡長柄町）,りきまる
138, 朝生原（市原市）,あそうばら
139, 外部田（市原市）,とのべた
140, 櫃挾（市原市）,ひつば
141, 潤井戸（市原市）,うるいど
142, 大厩（市原市）,おおまや
143, 小田部（市原市）,おだっぺ
144, 神代（市原市）,かじろ
145, 武士（市原市）,たけし
146, 大曽根（袖ケ浦市）,おぞね
147, 三箇（袖ケ浦市）,さんが
148, 百目木（袖ケ浦市）,どうめき
149, 堂谷（袖ケ浦市）,どうやつ
150, 三黒（袖ケ浦市）,みくろ
151, 実門（山武市）,さねかど
152, 新泉（山武市）,にいのみ
153, 松尾町引越（山武市）,まつおまちひっこし
154, 武勝（山武市）,むしょう
155, 埴谷（山武市）,はにや
156, 粟生（山武郡九十九里町）,あお
157, 不動堂（山武郡九十九里町）,ふどうどう
158, 家之子（東金市）,いえのこ
159, 砂古瀬（東金市）,いさごぜ
160, 一之袋（東金市）,いちのふくろ
161, 家徳（東金市）,かとく
162, 上武射田（東金市）,かみむざた
163, 求名（東金市）,ぐみょう
164, 士農田（東金市）,しのだ
165, 酒蔵（東金市）,しゅぞう
166, 薄島（東金市）,すすきしま
167, 丹尾（東金市）,たんのお
168, 台方（東金市）,だいかた
169, 殿廻（東金市）,とのまわり
170, 道庭（東金市）,どうにわ
171, 大豆谷（東金市）,まめざく
172, 三ケ尻（東金市）,みかじり
173, 御門（東金市）,みかど
174, 砂田（大網白里市）,いさごだ
175, 神房（大網白里市）,かんぼう
176, 経田（大網白里市）,きょうでん
177, 下ケ傍示（大網白里市）,さげほうじ
178, 四天木（大網白里市）,してんぎ
179, 餅木（大網白里市）,もちのき
180, 九十根（大網白里市）,くじゅうね
181, 国府関（茂原市）,こうせき
182, 押日（茂原市）,おしび
183, 小轡（茂原市）,こぐつわ
184, 猿袋（茂原市）,さるぶくろ
185, 道表（茂原市）,どうびょう
186, 七渡（茂原市）,ななわたり
187, 真名（茂原市）,まんな
188, 御蔵芝（茂原市）,みくらしば
189, 野牛（茂原市）,やぎゅう
190, 弓渡（茂原市）,ゆみわたし
191, 鷲巣（茂原市）,わしのす
192, 北日当（長生郡白子町）,きたひなた
193, 剃金（長生郡白子町）,そりがね
194, 八斗（長生郡白子町）,はつと
195, 古所（長生郡白子町）,ふるところ
196, 北水口（長生郡長生村）,きたみよぐち
197, 一松（長生郡長生村）,ひとつまつ
198, 船頭給（長生郡一宮町）,せんどうきゅう
199, 東浪見（長生郡一宮町）,とらみ
200, 本給（長生郡一宮町）,ほんきゅう
201, 行内（旭市）,ぎょうじ
202, 高生（旭市）,たかおい
203, 萬歳（旭市）,まんざい
204, 狢野（旭市）,むじなの
205, 郡（香取郡神崎町）,こおり
206, 谷三倉（香取郡多古町）,さくみくら
207, 十余三（香取郡多古町）,とよみ
208, 南借当（香取郡多古町）,みなみかりあて
209, 青馬（香取郡東庄町）,おおま
210, 羽計（香取郡東庄町）,はばかり
211, 八重穂（香取郡東庄町）,やえぼ
212, 返田（香取市）,かやだ
213, 神生（香取市）,かんのう
214, 桐谷（香取市）,きりざく
215, 九美上（香取市）,くみあげ
216, 公官洲（香取市）,こうかんず
217, 笄島（香取市）,こうがいじま
218, 石納（香取市）,こくのう
219, 鳥羽（香取市）,とっぱ
220, 新部（香取市）,にっぺ
221, 仁良（香取市）,にら
222, 丁子（香取市）,ようろご
223, 竜谷（香取市）,りゅうざく
224, 分郷（香取市）,わかれごう
225, 飯櫃（山武郡芝山町）,いびつ
226, 小原子（山武郡芝山町）,おばらく
227, 於幾（山武郡横芝光町）,おき
228, 尾垂（山武郡横芝光町）,おだれ
229, 小堤（山武郡横芝光町）,おんづみ
230, 曽根合（山武郡横芝光町）,そねあい
231, 取立（山武郡横芝光町）,とりたて
232, 鳥喰上（山武郡横芝光町）,とりはみかみ
233, 母子（山武郡横芝光町）,ははこ
234, 傍示戸（山武郡横芝光町）,ほうじど
235, 宝米（山武郡横芝光町）,ほうめ
236, 虫生（山武郡横芝光町）,むしょう
237, 生尾（匝瑳市）,おいお
238, 蕪里（匝瑳市）,かぶざと
239, 栢田（匝瑳市）,かやだ
240, 川向（匝瑳市）,かわむかい
241, 新（匝瑳市）,しむら
242, 城下（匝瑳市）,ねごや
243, 八辺（匝瑳市）,やっぺ
244, 海鹿島町（銚子市）,あしかじまちょう
245, 犬吠埼（銚子市）,いぬぼうざき
246, 垣根見晴台（銚子市）,かきねみはらしだい
247, 唐子町（銚子市）,からこちょう
248, 後飯町（銚子市）,ごはんちょう
249, 外川町（銚子市）,とかわまち
250, 諸持町（銚子市）,もろもちちょう
